pal|freq
truthfulness|2
upheld|2
virtue|125
ie|4
COWARDICE|2
idealist|1
flees|1
reality|3
To|128
AIM|1
STRAIGHT|1
Am|9
overcoming|4
moralist|1
THROUGH|1
ME|20
ELIZABETH|1
Archives|1
Weimar|1
1905|1
S|10
DISCOURSES|3
PROLOGUE|2
1|22
thirty|2
enjoyed|4
weary|46
heart|173
rising|2
rosy|14
dawn|12
spake|166
thus|196
Thou|168
star|17
What|166
hadst|6
shinest|2
hast|76
climbed|3
hither|8
cave|62
wouldst|24
wearied|2
journey|3
eagle|24
awaited|2
took|15
thine|52
Lo|27
wisdom|70
bee|1
gathered|1
honey|18
outstretched|5
bestow|7
wise|45
folly|31
poor|28
happy|6
riches|7
Therefore|26
descend|6
deep|43
doest|5
evening|31
goest|12
givest|1
netherworld|3
exuberant|4
Like|22
GO|3
DOWN|2
Bless|2
tranquil|4
eye|72
canst|9
behold|35
envy|18
cup|5
flow|11
golden|27
carry|21
everywhere|4
reflection|3
bliss|14
going|10
empty|10
downgoing|15
2|22
meeting|2
entered|3
stood|27
cot|2
roots|6
stranger|3
wanderer|14
ago|6
passed|17
altered|1
Then|89
carriedst|1
ashes|9
wilt|53
fire|16
valleys|7
Fearest|1
incendiary|1
doom|1
Yea|52
recognise|10
Pure|1
loathing|17
lurketh|1
Goeth|1
dancer|9
Altered|1
awakened|11
land|16
sleepers|1
borne|1
Alas|23
ashore|2
drag|3
thyself|96
answered|58
love|276
Why|36
said|198
desert|9
Was|8
God|141
imperfect|5
Love|3
fatal|3
bringing|1
gifts|10
Give|15
Take|11
load|2
agreeable|2
alms|4
beg|2
replied|5
accept|6
treasures|4
They|84
distrustful|6
anchorites|7
believe|47
fall|23
footsteps|5
ringeth|1
hollow|8
streets|4
bed|8
abroad|4
sunrise|3
Where|38
goeth|17
thief|7
Go|14
stay|2
animals|71
amongst|42
bears|4
bird|14
birds|14
doeth|11
make|73
hymns|2
sing|21
laugh|46
weep|7
mumble|1
singing|4
weeping|5
laughing|19
mumbling|2
bring|13
gift|6
bowed|5
Let|50
hurry|2
lest|15
aught|3
parted|1
schoolboys|1
GOD|3
IS|19
DEAD|2
3|21
arrived|2
nearest|4
town|7
adjoineth|1
assembled|4
marketplace|17
announced|2
ropedancer|4
performance|4
TEACH|1
YOU|13
SUPERMAN|3
surpassed|10
surpass|8
beings|5
ebb|3
tide|1
ape|5
laughingstock|2
shame|29
Ye|110
worm|4
Once|20
apes|4
wisest|15
disharmony|1
hybrid|1
plant|4
phantom|7
bid|12
phantoms|7
plants|2
teach|32
SHALL|1
conjure|5
REMAIN|1
TRUE|1
